;A;B;C;D;E;F;G;H;I;J;K;L;M;N
A00r1;;48;33;181;398;258;307;333;299;358;137;143;153;252
A00r2;;;;280;447;314;312;498;366;384;169;107;271;170
A00r3;;;;268;167;294;57;61;33;97;41;31;69;6
AA1;;;;195;645;343;315;230;158;205;67;157;84;57
AA2;;;;174;89;256;107;247;292;245;76;143;85;155
AA3;;7;;144;383;839;622;409;462;659;182;188;172;238
AA4;;;;115;74;231;405;302;316;357;512;221;155;123
AA5;29;;;169;286;143;134;222;249;502;123;135;20;186
AA6;;;;124;202;255;532;477;589;618;258;157;249;237
AA7;;;;257;218;289;124;99;209;235;554;47;149;45
AA8;;;0;558;601;441;210;198;130;911;35;111;59;86
